지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2)
108,서울,2011-01-01,-6.8,-10.4,154,-2.9,1457,,8.8,9.45
108,서울,2011-01-02,-5.4,-8.5,621,-1.2,1455,,8.9,9.73
108,서울,2011-01-03,-4.5,-8.5,631,-.3,1525,,7.1,8.24
108,서울,2011-01-04,-3.9,-7.4,648,-1.7,1355,,.6,5.93
108,서울,2011-01-05,-4,-7.7,2353,-1.8,1208,,5,8.24
108,서울,2011-01-06,-7.6,-9.8,753,-4.6,1607,,9,10.7
108,서울,2011-01-07,-7,-10.6,753,-2.9,1502,,9.1,10.84
108,서울,2011-01-08,-3.6,-8.2,243,.1,1713,.2,1.6,5.35
108,서울,2011-01-09,-7,-10.3,2247,-.3,0,0,8.9,10.98
108,서울,2011-01-10,-8.2,-11.8,538,-4.6,1443,,8,10.89
108,서울,2011-01-11,-5.4,-7.8,245,-2.7,1942,1.9,0,3.57
108,서울,2011-01-12,-8.2,-11.1,803,-4.9,1548,,9.1,11.74
108,서울,2011-01-13,-5.9,-11.1,605,-.6,1553,,8,10.77
108,서울,2011-01-14,-3.8,-6.9,2359,.3,1402,1.1,2.7,7.11
108,서울,2011-01-15,-12.2,-15.7,2329,-6.9,0,,8.6,11.75
108,서울,2011-01-16,-14.5,-17.8,741,-10.7,1615,,9.2,11.91
108,서울,2011-01-17,-9.7,-14.1,402,-4.8,1556,,9.2,12.02
108,서울,2011-01-18,-6.7,-10.8,632,-2.7,1455,,7.6,10.73
108,서울,2011-01-19,-6.6,-10,736,-3.2,1531,0,9,11.69
108,서울,2011-01-20,-8.2,-10.5,745,-4.7,1450,,9.1,11.45
108,서울,2011-01-21,-6.8,-9.7,615,-3.2,1429,,8.4,10.82
108,서울,2011-01-22,-4.3,-7.1,57,-.8,1601,.4,4.9,8.12
108,서울,2011-01-23,-4.5,-7.1,2400,-2.1,1213,5.3,.2,2.46
108,서울,2011-01-24,-8.8,-10.9,812,-5.8,1324,,8.8,11.22
108,서울,2011-01-25,-8.4,-11.9,711,-4.4,1540,,8.4,11.33
108,서울,2011-01-26,-8.5,-10.7,2338,-5.2,1348,,9.2,12.69
108,서울,2011-01-27,-8.9,-11.5,405,-5.7,1502,,9.3,12.14
108,서울,2011-01-28,-7.9,-10.5,717,-4.3,1435,,6.7,10.54
108,서울,2011-01-29,-9.1,-11.5,2305,-5.5,1543,,8.3,13.02
108,서울,2011-01-30,-10.1,-13.6,729,-5.7,1526,,9.5,13.67
108,서울,2011-01-31,-6.2,-12.7,328,-1.8,1400,0,5.3,9.39
108,서울,2011-02-01,-.2,-4.2,420,5,1539,,8.3,11.55
108,서울,2011-02-02,1.3,-2.8,625,7,1443,,8.5,11.07
108,서울,2011-02-03,1.5,-1.3,717,4.9,1421,,1.1,6.26
108,서울,2011-02-04,1.2,-.5,441,3.5,1510,,0,2.93
108,서울,2011-02-05,1.1,-.8,732,5.5,1453,,4.5,9.2
108,서울,2011-02-06,.3,-2.1,514,2.7,1656,,0,1.87
108,서울,2011-02-07,.3,-2.8,622,4.2,1301,,2.1,7.59
108,서울,2011-02-08,2.9,-.5,557,8.5,1505,,7.5,11.22
108,서울,2011-02-09,-1.2,-4.1,2357,2.1,1433,,8.5,13.24
108,서울,2011-02-10,-2.1,-5.6,504,2.7,1506,,4.3,8.97
108,서울,2011-02-11,-2.9,-6.2,725,1.8,1437,,9.1,13.92
108,서울,2011-02-12,-5.9,-9.2,737,-1.8,1454,,9.2,13.91
108,서울,2011-02-13,-4.8,-9,631,-.2,1351,,6.1,11.44
108,서울,2011-02-14,-3.4,-6.7,512,-.2,1437,,0,7.99
108,서울,2011-02-15,-1.8,-5.5,549,2.9,1409,,9.6,13.53
108,서울,2011-02-16,-.6,-5,630,4.3,1608,,4.3,9.74
108,서울,2011-02-17,.9,-2,656,4.7,1645,.1,4.9,10.83
108,서울,2011-02-18,1.6,-3,607,7.3,1518,,9.6,14.15
108,서울,2011-02-19,1.4,-2.6,623,7,1536,,8.3,13.94
108,서울,2011-02-20,5.3,-2.1,714,12.8,1533,,9.8,16
108,서울,2011-02-21,6.2,1.4,728,12.3,1440,,9.9,15.53
108,서울,2011-02-22,6.2,.7,756,13,1446,,9.5,14.81
108,서울,2011-02-23,5.6,.6,531,12,1521,,9.7,14.85
108,서울,2011-02-24,6.1,2.8,630,10.5,1509,,5.6,12.26
108,서울,2011-02-25,2,-.8,750,6.3,1601,,8.3,15.66
108,서울,2011-02-26,6.2,-.4,159,13.2,1438,,7.9,15.4
108,서울,2011-02-27,4.2,1.8,2152,7.4,155,28.5,0,1.28
108,서울,2011-02-28,2.8,1,211,4.8,1558,.5,0,4.04
108,서울,2011-03-01,.5,-2.7,2353,3.7,1541,2.3,.5,6.24
108,서울,2011-03-02,-2.1,-4.2,2317,1.6,1408,,10.6,18.9
108,서울,2011-03-03,-2.1,-5.5,530,2.5,1652,,10.6,18.85
108,서울,2011-03-04,.1,-4.5,530,6,1526,,10.6,18.5
108,서울,2011-03-05,2.1,-1.8,641,6.8,1526,,4.6,11.75
108,서울,2011-03-06,3.4,1.2,10,7.4,1340,,2.9,11.21
108,서울,2011-03-07,1.6,-1.2,735,5.8,1550,,10.5,19.1
108,서울,2011-03-08,1.6,-2.3,709,6.2,1229,,9,16.81
108,서울,2011-03-09,.2,-2.4,617,4.4,1258,,8.1,15.59
108,서울,2011-03-10,1.4,-3.4,622,4.9,1221,,6.8,13.56
108,서울,2011-03-11,4.6,-.3,643,9.8,1619,,10.2,18.84
108,서울,2011-03-12,7.8,1.9,617,13.4,1426,,10,17.36
108,서울,2011-03-13,10.7,8.5,708,16.2,1629,,5.3,12.85
108,서울,2011-03-14,6.7,4.4,2351,10.3,1534,,0,5.76
108,서울,2011-03-15,1.5,-2.3,2334,5.7,1222,,9.7,18.35
108,서울,2011-03-16,-.4,-3.1,648,3.2,1440,0,9.6,20.18
108,서울,2011-03-17,.8,-3.5,644,6.1,1533,,11.2,20.88
108,서울,2011-03-18,5.7,-1.5,638,12.5,1525,,10.5,19.17
108,서울,2011-03-19,8.8,5.5,720,13.7,1526,0,7.2,16.09
108,서울,2011-03-20,6.9,2.9,726,11.4,1620,5,3.1,11.47
108,서울,2011-03-21,8,3.8,2358,13,1442,,7.2,15.45
108,서울,2011-03-22,1.8,-1,2334,6.1,1455,,9.9,20.91
108,서울,2011-03-23,2.2,-2.2,543,7.3,1429,,11.2,21.88
108,서울,2011-03-24,2.9,.1,2029,8,1247,5.8,5.8,13.28
108,서울,2011-03-25,2.2,-.8,623,6.5,1531,,10.7,21.1
108,서울,2011-03-26,3.6,-.6,643,8.6,1509,,11.5,22.42
108,서울,2011-03-27,5.1,.9,607,9.7,1531,0,4.9,14.78
108,서울,2011-03-28,5.2,3.1,2353,8.4,1402,1.5,3.3,12.21
108,서울,2011-03-29,4.8,1.7,400,9.1,1522,,4.6,13.05
108,서울,2011-03-30,7.3,2.3,512,13.6,1546,,9.6,20.37
108,서울,2011-03-31,9.2,3.3,545,16.8,1458,,10.5,19.7
108,서울,2011-04-01,9.1,4.3,606,14.9,1404,,10.1,21.25
108,서울,2011-04-02,8.9,5.3,523,12.8,1408,,0,9.37
108,서울,2011-04-03,9.6,4.9,616,15.5,1515,,9.4,20.62
108,서울,2011-04-04,10.1,4.5,629,16.7,1448,,10.4,20.46
108,서울,2011-04-05,10.7,5.1,621,17.1,1350,,11.6,22.63
108,서울,2011-04-06,10.6,5.2,626,16.6,1410,,5.3,15.25
108,서울,2011-04-07,9.6,8.5,451,10.7,1319,7,0,2.86
108,서울,2011-04-08,11.4,7.4,626,17.3,1521,,8.8,20.03
108,서울,2011-04-09,9.9,6.8,622,15,1627,,10.2,21.22
108,서울,2011-04-10,10.8,8.2,2359,14.5,1222,1.5,2.9,13.64
108,서울,2011-04-11,10.4,6,702,15.4,1559,,12.1,24.88
108,서울,2011-04-12,10.2,4.9,553,15.5,1405,,11.8,24.55
108,서울,2011-04-13,11.3,5.7,619,17.4,1350,,11.1,22.28
108,서울,2011-04-14,12.4,6.6,554,18.8,1428,,10.5,21.38
108,서울,2011-04-15,12.2,9.4,1852,19,1326,.1,2.1,11.53
108,서울,2011-04-16,12.1,5.9,634,18.4,1617,,12.1,25.73
108,서울,2011-04-17,12,8,425,18.4,1401,,9.7,23.29
108,서울,2011-04-18,6.7,5.8,1040,10.7,5,2,0,1.97
108,서울,2011-04-19,10.8,6.6,12,16.2,1448,,9.9,22.47
108,서울,2011-04-20,11.2,6.3,548,16.8,1450,,10.5,23.41
108,서울,2011-04-21,13.5,8,544,18,1525,,3.7,16.21
108,서울,2011-04-22,8.9,7.4,2320,14.5,0,19,0,2.4
108,서울,2011-04-23,9.7,6.1,613,14.2,1405,,11.2,24.38
108,서울,2011-04-24,9.7,6.1,529,13.9,1152,,10.2,23
108,서울,2011-04-25,11.3,7.2,517,15.7,1413,0,6.5,20.57
108,서울,2011-04-26,10.5,9.1,444,11.4,1917,2.5,0,2.48
108,서울,2011-04-27,11.4,8.7,2236,14.2,1537,5,3.2,14.46
108,서울,2011-04-28,10.4,7.3,506,15.3,1449,0,8,20.97
108,서울,2011-04-29,13.2,7.3,546,18.4,1612,4,.8,10.65
108,서울,2011-04-30,13,10.6,330,14.6,1142,69,0,1.03
108,서울,2011-05-01,12.5,9.9,2347,15.7,1501,0,4,18.02
108,서울,2011-05-02,14.2,8.5,541,20.7,1558,,9.9,22.49
108,서울,2011-05-03,15.3,11.9,550,20.6,1525,,10.5,23.73
108,서울,2011-05-04,15.9,10.6,547,21.8,1534,,5.3,17.4
108,서울,2011-05-05,17.5,12.7,601,23.7,1519,,11.6,23.83
108,서울,2011-05-06,15.4,13.2,448,17.9,1155,.5,0,4.69
108,서울,2011-05-07,14.5,11.5,648,21.8,1512,3.5,5.2,18.37
108,서울,2011-05-08,17.3,10.3,549,24.1,1520,,9.4,24.83
108,서울,2011-05-09,17.6,14.6,2322,22,1246,4,0,1.51
108,서울,2011-05-10,16.5,14.5,124,18.5,1601,6.5,0,2.45
108,서울,2011-05-11,17.2,14.4,309,21.1,1248,14,.6,9.52
108,서울,2011-05-12,15.7,11.5,2344,20.2,1309,0,.6,10.61
108,서울,2011-05-13,14.6,10.3,423,20.6,1502,,11.9,26.89
108,서울,2011-05-14,17.2,12.1,531,22.9,1417,,11.9,27.21
108,서울,2011-05-15,17.2,13,2356,22.9,1421,,8.5,22.29
108,서울,2011-05-16,16.4,10.9,536,22.2,1521,,12.4,27.17
108,서울,2011-05-17,17.5,11.6,538,22.8,1510,,12,26.35
108,서울,2011-05-18,20.5,13.8,501,25.4,1427,0,6.7,18.87
108,서울,2011-05-19,20.7,18.8,834,23.6,1631,.4,.9,10.53
108,서울,2011-05-20,17.5,15.6,1645,20.5,36,15,0,1.55
108,서울,2011-05-21,14.5,12.6,1817,17.7,1131,2,0,3.64
108,서울,2011-05-22,17.3,10.7,521,23.3,1454,,7.4,21.33
108,서울,2011-05-23,19.5,15.3,425,25.9,1515,,6.8,18.76
108,서울,2011-05-24,21.5,14.1,531,28,1411,,9.7,24.3
108,서울,2011-05-25,22.7,16.7,549,28.2,1438,,1.3,14.23
108,서울,2011-05-26,20.7,17.9,2344,24,1359,0,.1,10.56
108,서울,2011-05-27,20.1,15.6,518,24.5,1519,,6.1,18.29
108,서울,2011-05-28,22.4,15.7,537,28.9,1400,,8.2,23.53
108,서울,2011-05-29,24.4,18.4,646,31.2,1539,,11.3,26.22
108,서울,2011-05-30,22.7,18.6,621,28.1,1322,,7,20.52
108,서울,2011-05-31,18.7,15.4,2352,23.7,1530,7.5,1.1,10.16
108,서울,2011-06-01,18,14.7,139,21.6,1615,21.5,1.1,10.05
108,서울,2011-06-02,19,15.1,532,24.7,1431,,3,15.97
108,서울,2011-06-03,19,14.4,203,24.8,1451,,7.7,23.86
108,서울,2011-06-04,18.7,15.8,424,24.6,1647,.5,5.8,17.96
108,서울,2011-06-05,20.4,16.1,420,27.1,1559,,10.6,26.86
108,서울,2011-06-06,20.9,15.3,520,26.9,1341,,8.9,23.58
108,서울,2011-06-07,20.9,15.9,545,26.6,1327,0,5.9,16.54
108,서울,2011-06-08,22,18.2,413,27.5,1431,1.5,7.7,22.53
108,서울,2011-06-09,19.4,17.5,634,22,1702,0,.5,8.33
108,서울,2011-06-10,21.4,17.8,203,24.3,1238,0,.6,8.97
108,서울,2011-06-11,24,20.6,542,29.2,1334,0,13.1,26.24
108,서울,2011-06-12,23.4,19,531,30.2,1523,0,6,20.92
108,서울,2011-06-13,21,16.6,750,26.9,1513,.5,7.6,20.98
108,서울,2011-06-14,22.8,16.8,441,29.5,1600,,11.4,24.31
108,서울,2011-06-15,25.2,19.1,533,31.9,1447,1,9.5,23.93
108,서울,2011-06-16,26.5,20.3,545,32,1509,,12.7,27.66
108,서울,2011-06-17,24.9,22.1,2315,31.3,1430,0,6.2,20.09
108,서울,2011-06-18,24.5,20.8,536,28.9,1608,,7.5,20.63
108,서울,2011-06-19,26.6,20.7,439,32.9,1539,,9.5,22.92
108,서울,2011-06-20,26.6,22.7,524,32,1500,,12.2,25.71
108,서울,2011-06-21,24.1,19.4,447,29.6,1551,,12.4,27.68
108,서울,2011-06-22,22.7,20.9,739,24.9,1519,16,0,4.48
108,서울,2011-06-23,22,21.2,40,23.3,1447,41,0,.88
108,서울,2011-06-24,19.7,18.6,2334,21.6,1232,10.5,0,2.78
108,서울,2011-06-25,18.3,17.5,929,20,1214,37,0,5.38
108,서울,2011-06-26,19.2,17.2,1018,21.6,1608,40,.6,7.68
108,서울,2011-06-27,19.2,18.3,2319,20.5,123,11.5,0,1.29
108,서울,2011-06-28,24.1,18.2,150,29.7,1516,.5,9.9,23.66
108,서울,2011-06-29,21,19.7,1012,23.3,0,177,0,1.88
108,서울,2011-06-30,23.8,21,109,27.9,1535,46,.4,8.97
108,서울,2011-07-01,25.1,22.2,431,28.6,1257,,1.1,14.35
108,서울,2011-07-02,24.7,22.7,352,26.8,1816,0,0,5.21
108,서울,2011-07-03,22.6,20.7,2241,24.8,0,115,0,1.9
108,서울,2011-07-04,22.5,18.9,719,28,1559,,7.1,20.07
108,서울,2011-07-05,24.3,19,532,30.7,1541,,11.7,24.24
108,서울,2011-07-06,25.6,20.4,529,31.2,1426,,4.6,19.12
108,서울,2011-07-07,22.9,20.9,2258,25.3,37,42.5,0,2.3
108,서울,2011-07-08,22.4,20.6,627,24.6,1552,13,0,8.1
108,서울,2011-07-09,23.6,20.8,517,27.8,1732,15,1.3,10.47
108,서울,2011-07-10,24.2,21.4,2355,28.4,1444,6,1.2,11.97
108,서울,2011-07-11,21.2,19.9,736,22.1,1416,42.5,0,2.96
108,서울,2011-07-12,22.8,20.9,55,25.6,1536,51.5,0,4.07
108,서울,2011-07-13,24.3,22.5,614,26.2,1756,29,0,4.58
108,서울,2011-07-14,23.6,22.3,1137,24.6,154,38,0,4.51
108,서울,2011-07-15,23.4,21.6,2329,26,1113,15,0,3.6
108,서울,2011-07-16,22.8,21.2,602,25.3,1222,54.5,.1,5.43
108,서울,2011-07-17,25.1,22.2,838,29.1,1433,1,1,13.08
108,서울,2011-07-18,28.7,24.4,35,34.1,1656,,7.4,22.21
108,서울,2011-07-19,28.5,24.7,438,32.7,1340,,12.4,27.5
108,서울,2011-07-20,27.6,23.6,510,32.6,1529,,13.1,28.29
108,서울,2011-07-21,27.1,22.3,521,32.2,1627,,12.8,27.14
108,서울,2011-07-22,24.1,21.4,818,26.6,1340,1.5,0,7.86
108,서울,2011-07-23,25.4,22.9,202,29.7,1445,3,2.1,13.83
108,서울,2011-07-24,24.8,22.8,1119,27.9,1550,8,.3,9.83
108,서울,2011-07-25,24.9,23.2,1037,27.9,1508,27.5,.5,8.81
108,서울,2011-07-26,24.8,21.1,1913,29.3,1208,171,.3,7.82
108,서울,2011-07-27,24,22.3,2159,26.2,2031,301.5,0,1.03
108,서울,2011-07-28,24.7,22.8,45,26.3,1344,115,0,3.16
108,서울,2011-07-29,26.2,23.9,459,30.2,1537,7.5,2.4,13.22
108,서울,2011-07-30,27.2,24.4,401,30.5,1428,0,1,13.11
108,서울,2011-07-31,24.7,23.2,1743,26.6,0,73,0,2.56
108,서울,2011-08-01,25.6,23.3,253,29.2,1629,.5,.7,9.04
108,서울,2011-08-02,26.1,24.4,525,30.1,1420,.5,2.2,14.13
108,서울,2011-08-03,25.4,23.7,557,28.1,1026,41.5,.7,7.47
108,서울,2011-08-04,25.4,23.7,432,28,1749,10,.4,5.96
108,서울,2011-08-05,28.9,23.4,509,34.1,1531,,8.3,20.02
108,서울,2011-08-06,28.5,26.1,609,32.7,1427,1.5,.5,13.13
108,서울,2011-08-07,28.7,24.9,2346,33,1435,4.5,4.3,16.75
108,서울,2011-08-08,24.7,23.6,248,27.7,745,39.5,0,2.26
108,서울,2011-08-09,26,24.4,410,28.7,1503,0,1.7,11.27
108,서울,2011-08-10,25.8,23.2,517,28.9,1538,.3,1.2,12.09
108,서울,2011-08-11,26.6,24.5,541,29.9,1542,0,1.2,11.62
108,서울,2011-08-12,25.3,24.1,2310,26.3,1721,19.5,0,4.21
108,서울,2011-08-13,25.3,23.9,219,26.6,858,6.5,0,4.48
108,서울,2011-08-14,25,23.9,728,26.8,1222,9.5,0,5.38
108,서울,2011-08-15,24.5,22.9,539,26.9,1701,.5,0,4.8
108,서울,2011-08-16,25,23.6,1904,26.2,958,16,0,2.17
108,서울,2011-08-17,23.7,22.8,2334,24.6,1215,4,0,1.6
108,서울,2011-08-18,25.2,21.5,623,30.2,1440,0,4.8,18.61
108,서울,2011-08-19,24.4,21.7,414,29.2,1427,,1,11.8
108,서울,2011-08-20,23.1,20.3,2355,27,1559,.5,1.6,9.82
108,서울,2011-08-21,24.4,18.7,516,31,1602,,8.9,22.58
108,서울,2011-08-22,23.5,19.8,2333,29.6,1513,3.5,2.2,13.87
108,서울,2011-08-23,24.3,18.1,552,30.5,1539,,8.9,20.12
108,서울,2011-08-24,24.8,21.2,502,28.6,1429,,5.5,17.67
108,서울,2011-08-25,25.7,21,618,30.5,1347,,8.1,20.09
108,서울,2011-08-26,26.4,23.2,636,30.3,1603,,7.6,20.36
108,서울,2011-08-27,27.6,23.5,513,31.2,1609,,5.5,18.46
108,서울,2011-08-28,27.3,24.3,545,32,1344,,6.3,17.02
108,서울,2011-08-29,26.8,24.5,242,29.9,1501,,.7,10.14
108,서울,2011-08-30,27.1,24.2,1723,32.4,1409,8.5,1.5,12.07
108,서울,2011-08-31,27.9,23.6,630,32.8,1424,,10.2,19.92
108,서울,2011-09-01,27,22.9,610,31.1,1517,,10.9,21.55
108,서울,2011-09-02,26.9,22.9,2354,32.4,1610,,8,18.86
108,서울,2011-09-03,25.1,20.3,622,30.7,1327,,10.1,20.06
108,서울,2011-09-04,23.7,19.4,456,30.2,1447,,3.6,15.78
108,서울,2011-09-05,23.8,19.5,532,28.5,1611,,11.4,23.37
108,서울,2011-09-06,23.4,18.8,646,28.7,1438,,11.9,23.31
108,서울,2011-09-07,22.6,17.5,546,27.3,1423,,5.8,15.45
108,서울,2011-09-08,22.3,20.4,650,25.8,1509,0,3.7,12.51
108,서울,2011-09-09,19.9,19,2239,20.7,908,2.5,0,4.01
108,서울,2011-09-10,21.5,18,615,26.4,1349,,1.2,10.24
108,서울,2011-09-11,21.2,19.5,838,22.5,1626,0,0,5.2
108,서울,2011-09-12,23.3,20,616,27,1252,0,1.4,11.93
108,서울,2011-09-13,25,20.9,629,30.9,1509,,5.3,17.08
108,서울,2011-09-14,24.4,22.8,437,28.1,1721,,1.3,6.45
108,서울,2011-09-15,25.7,21.2,611,31.3,1353,,6.7,16.57
108,서울,2011-09-16,25.6,21.7,533,31.2,1415,,3.6,13.8
108,서울,2011-09-17,25.8,21.6,2355,31,1214,0,4.2,12.6
108,서울,2011-09-18,21,17.5,2400,26.4,1429,.5,3.9,14.79
108,서울,2011-09-19,16.8,14.5,2351,18.2,1232,.1,0,6.11
108,서울,2011-09-20,17.7,13.4,325,23.2,1447,,5.6,16.79
108,서울,2011-09-21,18.1,12.4,609,24,1348,,7.9,17.39
108,서울,2011-09-22,18.1,11.9,548,24.6,1441,,10.3,19.43
108,서울,2011-09-23,19.5,13.5,622,26,1421,,11.1,19.36
108,서울,2011-09-24,19.6,14.4,608,25.9,1544,,10.7,18.68
108,서울,2011-09-25,20,14.6,518,26.6,1518,,8.8,17.7
108,서울,2011-09-26,21.2,14.8,553,27.7,1552,,10.8,17.82
108,서울,2011-09-27,21.8,15.4,604,29.2,1447,,11,19.77
108,서울,2011-09-28,19.8,16.6,604,23.5,1436,,.2,9.33
108,서울,2011-09-29,16.9,15.5,1105,19.5,1,22.5,.1,2.85
108,서울,2011-09-30,14.8,10.3,2353,18.6,1346,,10.9,20.6
108,서울,2011-10-01,12.7,7.7,646,17.6,1457,,11,19.06
108,서울,2011-10-02,13.3,9.6,633,18.1,1548,,10.3,17.65
108,서울,2011-10-03,13.8,7.3,629,20.8,1528,,10.9,19.29
108,서울,2011-10-04,14.9,8.4,634,21.2,1440,,9.7,17.43
108,서울,2011-10-05,16.4,12.7,638,22,1433,,5.4,13.86
108,서울,2011-10-06,16.5,12.7,2400,20.2,1524,,8,16.12
108,서울,2011-10-07,15.4,10.5,629,21.2,1448,,10.4,16.95
108,서울,2011-10-08,16.2,10.4,656,22.5,1532,,10.2,16.07
108,서울,2011-10-09,16.6,11.9,457,22.5,1419,,3,10.7
108,서울,2011-10-10,16.9,12.4,618,21.8,1358,,4.6,11.59
108,서울,2011-10-11,16.5,12.4,706,22.4,1432,,10,17.02
108,서울,2011-10-12,14.7,10.7,616,18.7,1329,,,
108,서울,2011-10-13,16.6,10.7,614,23.4,1504,,10.1,13.35
108,서울,2011-10-14,14.4,12.7,2352,15.7,32,5,0,1.97
108,서울,2011-10-15,13,11.4,1927,16.9,1206,20,0,2.69
108,서울,2011-10-16,14.8,11.1,151,20.1,1457,.5,8,12.15
108,서울,2011-10-17,11.2,7,2225,14.8,1256,,10.3,15.25
108,서울,2011-10-18,9.4,3.9,702,15.4,1455,,10.5,14.82
108,서울,2011-10-19,12.8,4.6,635,20.4,1522,,10,14.47
108,서울,2011-10-20,15.5,11,44,20.9,1348,,6.8,11.44
108,서울,2011-10-21,17.3,13.1,216,21,1527,,5,9.28
